name,matched_name,match_score,height,preferred_foot
Alexander Stephan,alexander stephan,100.0,,
Miroslav Klose,miroslav klose,100.0,184.0,right
Kevin McKenna,,0.0,,
Clemens Walch,,0.0,,
Maximilian Nicu,,0.0,,
Jan Durica,jan durica,100.0,,
Ashkan Dejagah,ashkan dejagah,100.0,181.0,right
Nikos Liberopoulos,,0.0,,
Havard Nordtveit,havard nordtveit,100.0,188.0,right
Damien Le Tallec,damien le tallec,100.0,186.0,right
Jan Simunek,,0.0,,
Cha Du-Ri,du-ri cha,95.0,181.0,right
Mike Hanke,mike hanke,100.0,185.0,right
Sebastian Prodl,sebastian praPdl,90.32258064516128,194.0,right
Gerald Asamoah,gerald asamoah,100.0,180.0,right
Dario Vidosic,,0.0,,
Daniel Gunkel,dani,90.0,183.0,right
Angelos Charisteas,,0.0,,
Konstantin Rausch,konstantin rausch,100.0,181.0,left
Lewis Holtby,lewis holtby,100.0,176.0,left
Adam Szalai,ada!m szalai,95.65217391304348,193.0,right
Carsten Cullmann,,0.0,,
Jan Moravek,jan moravek,100.0,180.0,right
Marek Mintal,,0.0,,
Andreas Ottl,andreas ottl,100.0,,
Shinji Ono,,0.0,,
Christian Vander,christian vander,100.0,195.0,right
Valdet Rama,valdet rama,100.0,182.0,both
Vahid Hashemian,,0.0,,
Halil Altintop,halil altintop,100.0,185.0,right
Leon Balogun,leon balogun,100.0,190.0,right
Marcel Meeuwis,marcel meeuwis,100.0,,
Alexander Baumjohann,alexander baumjohann,100.0,178.0,right
Cesar,cesare casadei,90.0,192.0,right
Eke Uzoma,,0.0,,
Michael Rensing,michael rensing,100.0,190.0,right
Hamed Namouchi,,0.0,,
Pal Dardai,,0.0,,
Jose Sosa,,0.0,,
Hamit Altintop,hamit altintop,100.0,183.0,right
Jukka Raitala,jukka raitala,100.0,181.0,both
Paul Stalteri,,0.0,,
Breno,breno,100.0,179.0,left
Patrick Helmes,patrick helmes,100.0,182.0,both
Hans Sarpei,,0.0,,
Manuel Gulde,manuel gulde,100.0,184.0,right
Wilfried Sanou,,0.0,,
Omer Toprak,amer toprak,90.9090909090909,187.0,right
Andreas Johansson,andreas johansson,100.0,181.0,left
Stefan Reisinger,stefan reisinger,100.0,185.0,right
Martin Fenin,,0.0,,
Jacek Krzynowek,,0.0,,
Jahmir Hyka,,0.0,,
Manasseh Ishiaku,,0.0,,
Lukas Sinkiewicz,,0.0,,
Danny Williams,danny williams,100.0,182.0,right
Prince Tagoe,,0.0,,
Dimitar Dimitrov Rangelov,angelo,90.0,175.0,right
Oliver Neuville,,0.0,,
Tolgay Arslan,tolgay arslan,100.0,180.0,right
Jaouhar Mnari,,0.0,,
Valeri Domovchiyski,valeri domovchiyski,100.0,180.0,left
Mario Eggimann,mario eggimann,100.0,190.0,right
Sven Ulreich,sven ulreich,100.0,192.0,right
Marcel Heller,marcel heller,100.0,176.0,right
Srdjan Baljak,,0.0,,
Rasmus Bengtsson,rasmus bengtsson,100.0,186.0,right
Kaka,otar kakabadze,90.0,186.0,right
Christoph Janker,christoph janker,100.0,185.0,right
Markus Feulner,markus feulner,100.0,183.0,right
Markus Rosenberg,markus rosenberg,100.0,,
Jan Schlaudraff,jan schlaudraff,100.0,180.0,right
Thomas Broich,,0.0,,
Artur Wichniarek,artur,90.0,175.0,right
Thomas Kahlenberg,thomas kahlenberg,100.0,183.0,right
Per Nilsson,per nilsson,100.0,190.0,right
Daniel Brosinski,daniel brosinski,100.0,178.0,right
Theofanis Gekas,theofanis gekas,100.0,179.0,right
Marc Ziegler,marc ziegler,100.0,193.0,right
Daniel Fernandes,daniel fernandes,100.0,195.0,right
Thomas Kleine,thomas kleine,100.0,191.0,right
Isaac Boakye,isaac,90.0,185.0,both
Matthew Spiranovic,,0.0,,
Ralf Fahrmann,ralf fa$?hrmann,92.85714285714286,197.0,right
Lennart Hartmann,,0.0,,
Timo Ochs,,0.0,,
Sascha Burchert,sascha burchert,100.0,187.0,right
Manuel Salz,,0.0,,
Arjen Robben,arjen robben,100.0,180.0,left
Nuri Sahin,nuri sahin,100.0,180.0,left
Franck Ribery,,0.0,,
Arturo Vidal,arturo vidal,100.0,180.0,right
Tamas Hajnal,tama!s hajnal,96.0,167.0,both
Diego,diego,100.0,173.0,right
Mitchell Langerak,mitchell langerak,100.0,193.0,right
Christian Tiffert,chris,90.0,,
Christian Fuchs,christian fuchs,100.0,187.0,left
Marc-Andre ter Stegen,,0.0,,
Mario Gomez,,0.0,,
Ze Roberto,roberto,95.0,192.0,right
Renato Augusto,renato augusto,100.0,186.0,right
Mario Gotze,,0.0,,
Thomas Muller,,0.0,,
Marco Reus,marco reus,100.0,180.0,right
Ivo Ilicevic,ivo ilicevic,100.0,,
Sven Bender,sven bender,100.0,186.0,right
Marko Marin,marko marin,100.0,170.0,right
Bastian Schweinsteiger,bastian schweinsteiger,100.0,,
Christian Trasch,christian tra$?sch,94.11764705882352,180.0,right
Claudio Pizarro,claudio pizarro,100.0,184.0,right
Luiz Gustavo,luiz gustavo,100.0,187.0,left
Martin Stranzl,martin stranzl,100.0,,
Mehmet Ekici,mehmet ekici,100.0,180.0,both
Andre Schurrle,,0.0,,
Mats Hummels,mats hummels,100.0,191.0,right
Jefferson Farfan,jefferson farfa!n,96.96969696969697,178.0,right
Didier Ya Konan,didier ya konan,100.0,,
Georgios Tzavellas,georgios tzavellas,100.0,183.0,left
Philipp Wollscheid,philipp wollscheid,100.0,,
Marco Caligiuri,marco caligiuri,100.0,,
Sejad Salihovic,sejad salihovic,100.0,182.0,left
Chris,chris,100.0,,
Sergio Pinto,,0.0,,
Marcel Schmelzer,marcel schmelzer,100.0,180.0,left
Kevin Grokreutz,kevin groakreutz,96.7741935483871,186.0,right
Luiz Gustavo,luiz gustavo,100.0,187.0,left
Juan Arango,juan arango,100.0,,
Pirmin Schwegler,pirmin schwegler,100.0,178.0,right
Tony Jantschke,tony jantschke,100.0,177.0,right
Edin Dzeko,,0.0,,
Shinji Kagawa,shinji kagawa,100.0,175.0,right
Lucas Barrios,lucas barrios,100.0,189.0,right
Lewis Holtby,lewis holtby,100.0,176.0,left
Sidney Sam,sidney sam,100.0,174.0,left
Heiko Westermann,heiko westermann,100.0,190.0,right
Timothy Chandler,timothy chandler,100.0,187.0,right
Torsten Frings,,0.0,,
Lukas Podolski,lukas podolski,100.0,182.0,left
Geromel,pedro geromel,90.0,190.0,right
Ivan Rakitic,ivan rakitic,100.0,184.0,right
Kevin Trapp,kevin trapp,100.0,189.0,right
Javier Pinola,javier pinola,100.0,180.0,left
Anatoliy Tymoshchuk,anatoliy tymoshchuk,100.0,181.0,right
Rodnei,rodinei,92.3076923076923,175.0,right
Andreas Ibertsberger,berg,90.0,174.0,both
Daniel Schwaab,daniel schwaab,100.0,186.0,right
Mladen Petric,mladen petric,100.0,,
Sebastian Rudy,sebastian rudy,100.0,180.0,right
Sebastian Boenisch,sebastian boenisch,100.0,191.0,right
Oliver Baumann,oliver baumann,100.0,187.0,right
Andreas Beck,andreas beck,100.0,180.0,right
Neven Subotic,neven subotic,100.0,193.0,right
Radoslav Zabavnik,radoslav zabavnik,100.0,180.0,both
Hamit Altintop,hamit altintop,100.0,183.0,right
Elkin Soto,elkin soto,100.0,179.0,left
Patrick Owomoyela,patrick owomoyela,100.0,187.0,right
Mamadou Bah,mamadou bah,100.0,181.0,left
Jan Moravek,jan moravek,100.0,180.0,right
Jonathan Pitroipa,jonathan pitroipa,100.0,176.0,right
Ralf Fahrmann,ralf fa$?hrmann,92.85714285714286,197.0,right
Roberto Firmino,roberto firmino,100.0,181.0,right
David Jarolim,david jarolim,100.0,174.0,right
Lukasz Piszczek,lukasz piszczek,100.0,184.0,right
Eugen Polanski,eugen polanski,100.0,183.0,right
Julian Schuster,julian schuster,100.0,189.0,right
Petit,,0.0,,
Andreas Wolf,andreas wolf,100.0,182.0,right
Raul,raul rusescu,90.0,181.0,right
Mark van Bommel,mark van bommel,100.0,186.0,right
Michal Kadlec,michal kadlec,100.0,185.0,left
Jan Schlaudraff,jan schlaudraff,100.0,180.0,right
Isaac Vorsah,isaac,90.0,185.0,both
Cacau,cacau,100.0,179.0,right
Mario Mandzukic,mario mandzukic,100.0,190.0,right
Bastian Oczipka,bastian oczipka,100.0,185.0,left
Ryan Babel,ryan babel,100.0,185.0,right
Sebastian Jung,sebastian jung,100.0,179.0,right
Havard Nordtveit,havard nordtveit,100.0,188.0,right
Demba Ba,demba ba,100.0,189.0,right
Malik Fathi,malik fathi,100.0,185.0,left
Slawomir Peszko,slawomir peszko,100.0,173.0,right
Julian Schieber,julian schieber,100.0,186.0,left
Patrick Funk,patrick,90.0,185.0,left
Gonzalo Castro,gonzalo castro,100.0,172.0,right
Wesley,wesley hoedt,90.0,193.0,left
Shinji Okazaki,shinji okazaki,100.0,175.0,right
Martin Harnik,martin harnik,100.0,185.0,right
Josue,,0.0,,
Peer Kluge,peer kluge,100.0,,
Mikael Silvestre,mikael,90.0,184.0,left
Srdjan Lakic,srdjan lakic,100.0,,
Manuel Schmiedebach,manuel schmiedebach,100.0,171.0,right
Ron-Robert Zieler,ron-robert zieler,100.0,188.0,right
Niko Bungert,niko bungert,100.0,188.0,right
Hugo Almeida,hugo almeida,100.0,191.0,left
Cedrick Makiadi,cedrick,90.0,168.0,right
Manuel Neuer,manuel neuer,100.0,193.0,right
Christoph Metzelder,christoph metzelder,100.0,,
Timo Gebhart,timo gebhart,100.0,183.0,right
Eljero Elia,eljero elia,100.0,176.0,right
Milivoje Novakovic,,0.0,,
Marvin Compper,marvin compper,100.0,185.0,left
Clemens Fritz,clemens fritz,100.0,183.0,right
Arthur Boka,arthur boka,100.0,166.0,left
Philipp Lahm,philipp lahm,100.0,170.0,right
Mohamadou Idrissou,,0.0,,
Benedikt Howedes,benedikt haPwedes,90.9090909090909,188.0,right
David Alaba,david alaba,100.0,180.0,left
Jan Kirchhoff,jan kirchhoff,100.0,195.0,right
Carlos Zambrano,carlos zambrano,100.0,185.0,right
Tranquillo Barnetta,tranquillo barnetta,100.0,,
Jan Rosenthal,jan rosenthal,100.0,186.0,right
Zdravko Kuzmanovic,zdravko kuzmanovic,100.0,186.0,right
Mato Jajalo,mato jajalo,100.0,182.0,right
Holger Badstuber,holger badstuber,100.0,190.0,left
Dante,dante,100.0,188.0,left
Stefan Reinartz,stefan reinartz,100.0,,
Alexander Meier,alexander meier,100.0,196.0,right
Simon Rolfes,simon rolfes,100.0,191.0,left
Lars Stindl,lars stindl,100.0,181.0,right
Serdar Tasci,serdar tasci,100.0,,
Andrea Barzagli,andrea barzagli,100.0,187.0,right
Ilkay Gundogan,,0.0,,
Mathias Abel,,0.0,,
Roman Neustadter,roman neusta$?dter,94.11764705882352,188.0,right
Ciprian Marica,ciprian marica,100.0,184.0,both
Eren Derdiyok,eren derdiyok,100.0,191.0,right
Nikolce Noveski,nikolce noveski,100.0,,
Michael Bradley,michael bradley,100.0,189.0,right
Diego Contento,diego contento,100.0,177.0,left
Christian Wetklo,christian wetklo,100.0,190.0,right
Sami Allagui,sami allagui,100.0,184.0,right
Dennis Aogo,dennis aogo,100.0,184.0,left
Stiven Rivic,,0.0,,
Joris Mathijsen,joris mathijsen,100.0,,
Benjamin Kohler,benjamin kaPhler,90.32258064516128,,
Papiss Cisse,,0.0,,
Arne Friedrich,,0.0,,
Stefan Kieling,stefan kiealing,96.55172413793103,191.0,right
Gojko Kacar,gojko kacar,100.0,,
Danijel Pranjic,danijel pranjic,100.0,172.0,left
Daniel Van Buyten,daniel van buyten,100.0,197.0,right
Adam Szalai,ada!m szalai,95.65217391304348,193.0,right
Jose Manuel Jurado,,0.0,,
Simon Kjaer,simon kja|r,90.9090909090909,191.0,right
Maik Franz,maik franz,100.0,,
Jakub Blaszczykowski,jakub blaszczykowski,100.0,176.0,right
Toni Kroos,toni kroos,100.0,183.0,right
Karim Haggui,karim haggui,100.0,,
Georg Niedermeier,georg niedermeier,100.0,190.0,right
Tunay Torun,tunay torun,100.0,176.0,right
Christian Schulz,christian schulz,100.0,185.0,left
Oliver Kirch,oliver kirch,100.0,182.0,right
Michael Rensing,michael rensing,100.0,190.0,right
Juri Judt,,0.0,,
Christian Gentner,christian gentner,100.0,189.0,right
